# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=8459
# Generated: 2026-07-20 11:53:55
# WAYPOINTS:
# WP: -1.602082,0.270989,-135.000000,124.338000,50
# WP: -1.740002,0.769999,-116.767000,113.485700,50
# WP: 1.770000,0.970001,12.479080,108.782400,50
# WP: 2.438963,-2.440071,135.000000,0.027976,50
# WP: -2.440071,-2.438963,-135.000000,0.027976,50

Time,X,Z,Theta1,Theta2
0.162,1.570046,1.228310,2.759080,109.807600
0.163,1.568691,1.229790,2.699080,109.814000
0.164,1.567335,1.231268,2.639079,109.820300
0.165,1.565977,1.232745,2.579079,109.826600
0.166,1.564618,1.234221,2.519079,109.832900
0.167,1.563257,1.235694,2.459079,109.839300
0.168,1.561895,1.237167,2.399078,109.845600
0.169,1.560532,1.238638,2.339078,109.851900
0.170,1.559167,1.240107,2.279079,109.858300
0.171,1.557801,1.241575,2.219079,109.864600
0.172,1.556434,1.243041,2.159079,109.870900
0.173,1.555065,1.244506,2.099079,109.877300
0.174,1.553694,1.245970,2.039079,109.883600
0.175,1.552323,1.247431,1.979079,109.889900
0.176,1.550950,1.248892,1.919079,109.896200
0.177,1.549575,1.250351,1.859079,109.902600
0.178,1.548200,1.251808,1.799079,109.908900
0.179,1.546823,1.253264,1.739079,109.915200
0.180,1.545444,1.254719,1.679079,109.921500
0.181,1.544064,1.256172,1.619079,109.927900
0.182,1.542683,1.257623,1.559078,109.934200
0.183,1.541301,1.259073,1.499078,109.940500
0.184,1.539917,1.260521,1.439079,109.946900
0.185,1.538531,1.261968,1.379079,109.953200
0.186,1.537145,1.263414,1.319080,109.959500
0.187,1.535757,1.264857,1.259079,109.965900
0.188,1.534367,1.266300,1.199079,109.972200
0.189,1.532977,1.267741,1.139079,109.978500
0.190,1.531585,1.269180,1.079079,109.984800
0.191,1.530191,1.270617,1.019078,109.991200
0.192,1.528796,1.272054,0.959079,109.997500
0.193,1.527400,1.273488,0.899079,110.003800
0.194,1.526003,1.274922,0.839079,110.010100
0.195,1.524604,1.276353,0.779079,110.016500
0.196,1.523204,1.277784,0.719078,110.022800
0.197,1.521802,1.279212,0.659078,110.029100
0.198,1.520399,1.280640,0.599079,110.035500
0.199,1.518995,1.282065,0.539079,110.041800
0.200,1.517590,1.283489,0.479080,110.048100
0.201,1.516183,1.284912,0.419079,110.054500
0.202,1.514775,1.286333,0.359079,110.060800
0.203,1.513365,1.287752,0.299079,110.067100
