# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=9002
# Generated: 2026-07-14 21:33:55
# WAYPOINTS:
# WP: -1.470000,2.750000,-51.618740,50.799720,84
# WP: 1.320000,3.120000,12.779660,21.856800,50
# WP: 2.040000,2.480000,19.525560,42.993950,64
# WP: 0.830000,1.910000,-24.239910,106.112900,56
# WP: -1.440000,0.900000,-111.616300,121.530700,50
# WP: -2.640000,0.630000,-111.647500,76.464970,22
# WP: 2.890000,1.240000,44.249700,48.691380,50

Time,X,Z,Theta1,Theta2
0.298,1.889453,2.503621,14.211290,49.351970
0.299,1.885073,2.506886,14.110490,49.354190
0.300,1.880688,2.510143,14.009690,49.356410
0.301,1.876297,2.513393,13.908890,49.358620
0.302,1.871900,2.516634,13.808090,49.360840
0.303,1.867498,2.519868,13.707290,49.363060
0.304,1.863090,2.523094,13.606490,49.365280
0.305,1.858677,2.526313,13.505690,49.367490
0.306,1.854258,2.529524,13.404890,49.369710
0.307,1.849833,2.532727,13.304090,49.371930
0.308,1.845403,2.535922,13.203290,49.374140
0.309,1.840967,2.539110,13.102490,49.376360
0.310,1.836526,2.542290,13.001690,49.378570
0.311,1.832080,2.545462,12.900890,49.380790
0.312,1.827628,2.548626,12.800090,49.383010
0.313,1.823170,2.551783,12.699290,49.385230
0.314,1.818707,2.554932,12.598490,49.387440
0.315,1.814238,2.558073,12.497690,49.389660
0.316,1.809765,2.561206,12.396890,49.391880
0.317,1.805285,2.564331,12.296090,49.394090
0.318,1.800801,2.567448,12.195290,49.396310
0.319,1.796311,2.570558,12.094490,49.398530
0.320,1.791815,2.573660,11.993690,49.400750
0.321,1.787314,2.576754,11.892890,49.402960
0.322,1.782808,2.579840,11.792090,49.405180
0.323,1.778297,2.582918,11.691290,49.407390
0.324,1.773780,2.585988,11.590490,49.409610
0.325,1.769258,2.589051,11.489690,49.411830
0.326,1.764731,2.592105,11.388890,49.414040
0.327,1.760198,2.595152,11.288090,49.416260
0.328,1.755660,2.598190,11.187290,49.418480
0.329,1.751117,2.601221,11.086490,49.420700
0.330,1.746569,2.604244,10.985690,49.422910
0.331,1.742015,2.607258,10.884890,49.425130
0.332,1.737456,2.610265,10.784090,49.427350
0.333,1.732892,2.613264,10.683290,49.429560
0.334,1.728323,2.616255,10.582490,49.431780
0.335,1.723749,2.619238,10.481690,49.434000
0.336,1.719169,2.622213,10.380890,49.436210
0.337,1.714585,2.625180,10.280090,49.438430
0.338,1.709995,2.628138,10.179290,49.440650
