# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=11995
# Generated: 2026-07-20 11:14:53
# WAYPOINTS:
# WP: -0.810000,0.420000,-122.924100,150.378600,50
# WP: 1.820000,0.510000,23.513560,113.993100,50
# WP: -0.710000,2.390000,-56.548480,87.719220,50
# WP: -2.180000,2.030000,-75.065420,60.759090,50
# WP: -1.812190,0.216488,-135.000000,116.578500,50
# WP: -2.891826,-1.069085,-135.000000,53.469210,50
# WP: 3.440591,-0.254590,94.218930,0.027976,50
# WP: 2.368416,2.508603,43.340520,0.027976,50
# WP: 1.841209,2.917608,32.241700,0.027976,50

Time,X,Z,Theta1,Theta2
0.115,-2.590117,-2.269480,-134.445800,6.927977
0.116,-2.591331,-2.267929,-134.441000,6.987977
0.117,-2.592541,-2.266378,-134.436200,7.047976
0.118,-2.593751,-2.264824,-134.431400,7.107977
0.119,-2.594959,-2.263270,-134.426500,7.167976
0.120,-2.596166,-2.261714,-134.421700,7.227977
0.121,-2.597371,-2.260157,-134.416900,7.287977
0.122,-2.598573,-2.258599,-134.412100,7.347977
0.123,-2.599775,-2.257040,-134.407300,7.407977
0.124,-2.600975,-2.255479,-134.402400,7.467977
0.125,-2.602173,-2.253917,-134.397600,7.527976
0.126,-2.603370,-2.252353,-134.392800,7.587976
0.127,-2.604565,-2.250789,-134.388000,7.647976
0.128,-2.605758,-2.249223,-134.383200,7.707977
0.129,-2.606949,-2.247656,-134.378300,7.767977
0.130,-2.608139,-2.246088,-134.373500,7.827977
0.131,-2.609328,-2.244518,-134.368700,7.887977
0.132,-2.610515,-2.242948,-134.363900,7.947976
0.133,-2.611700,-2.241376,-134.359100,8.007977
0.134,-2.612882,-2.239803,-134.354200,8.067976
0.135,-2.614064,-2.238228,-134.349400,8.127976
0.136,-2.615244,-2.236653,-134.344600,8.187977
0.137,-2.616423,-2.235076,-134.339800,8.247976
0.138,-2.617599,-2.233498,-134.335000,8.307977
0.139,-2.618774,-2.231919,-134.330200,8.367977
0.140,-2.619947,-2.230339,-134.325300,8.427976
0.141,-2.621119,-2.228757,-134.320500,8.487976
0.142,-2.622289,-2.227174,-134.315700,8.547976
0.143,-2.623458,-2.225590,-134.310900,8.607977
0.144,-2.624624,-2.224004,-134.306000,8.667976
0.145,-2.625788,-2.222419,-134.301200,8.727977
0.146,-2.626952,-2.220831,-134.296400,8.787977
0.147,-2.628114,-2.219242,-134.291600,8.847976
0.148,-2.629273,-2.217652,-134.286800,8.907976
0.149,-2.630432,-2.216060,-134.282000,8.967977
0.150,-2.631588,-2.214468,-134.277100,9.027976
0.151,-2.632743,-2.212874,-134.272300,9.087976
0.152,-2.633896,-2.211280,-134.267500,9.147977
0.153,-2.635048,-2.209683,-134.262700,9.207976
0.154,-2.636198,-2.208086,-134.257900,9.267977
0.155,-2.637346,-2.206487,-134.253000,9.327976
0.156,-2.638491,-2.204888,-134.248200,9.387976
0.157,-2.639637,-2.203287,-134.243400,9.447976
0.158,-2.640779,-2.201685,-134.238600,9.507977
0.159,-2.641921,-2.200082,-134.233800,9.567976
0.160,-2.643061,-2.198478,-134.228900,9.627976
0.161,-2.644199,-2.196872,-134.224100,9.687977
0.162,-2.645334,-2.195266,-134.219300,9.747975
0.163,-2.646469,-2.193658,-134.214500,9.807976
0.164,-2.647602,-2.192049,-134.209700,9.867976
0.165,-2.648733,-2.190438,-134.204800,9.927977
0.166,-2.649863,-2.188827,-134.200000,9.987976
