# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=11995
# Generated: 2026-07-20 11:14:53
# WAYPOINTS:
# WP: -0.810000,0.420000,-122.924100,150.378600,50
# WP: 1.820000,0.510000,23.513560,113.993100,50
# WP: -0.710000,2.390000,-56.548480,87.719220,50
# WP: -2.180000,2.030000,-75.065420,60.759090,50
# WP: -1.812190,0.216488,-135.000000,116.578500,50
# WP: -2.891826,-1.069085,-135.000000,53.469210,50
# WP: 3.440591,-0.254590,94.218930,0.027976,50
# WP: 2.368416,2.508603,43.340520,0.027976,50
# WP: 1.841209,2.917608,32.241700,0.027976,50

Time,X,Z,Theta1,Theta2
0.370,-2.842875,-1.838604,-133.216900,22.227970
0.371,-2.843630,-1.836796,-133.212100,22.287980
0.372,-2.844383,-1.834988,-133.207300,22.347970
0.373,-2.845134,-1.833179,-133.202500,22.407980
0.374,-2.845884,-1.831369,-133.197700,22.467980
0.375,-2.846632,-1.829558,-133.192800,22.527980
0.376,-2.847378,-1.827747,-133.188000,22.587980
0.377,-2.848122,-1.825934,-133.183200,22.647980
0.378,-2.848863,-1.824122,-133.178400,22.707980
0.379,-2.849603,-1.822308,-133.173600,22.767980
0.380,-2.850341,-1.820494,-133.168700,22.827980
0.381,-2.851077,-1.818678,-133.163900,22.887980
0.382,-2.851811,-1.816863,-133.159100,22.947980
0.383,-2.852543,-1.815047,-133.154300,23.007980
0.384,-2.853273,-1.813229,-133.149500,23.067980
0.385,-2.854002,-1.811411,-133.144700,23.127980
0.386,-2.854728,-1.809592,-133.139800,23.187980
0.387,-2.855453,-1.807773,-133.135000,23.247980
0.388,-2.856175,-1.805953,-133.130200,23.307980
0.389,-2.856895,-1.804133,-133.125400,23.367980
0.390,-2.857614,-1.802312,-133.120600,23.427980
0.391,-2.858330,-1.800489,-133.115700,23.487980
0.392,-2.859045,-1.798666,-133.110900,23.547980
0.393,-2.859758,-1.796842,-133.106100,23.607980
0.394,-2.860469,-1.795018,-133.101300,23.667980
0.395,-2.861177,-1.793194,-133.096500,23.727980
0.396,-2.861885,-1.791368,-133.091600,23.787980
0.397,-2.862590,-1.789541,-133.086800,23.847980
0.398,-2.863293,-1.787714,-133.082000,23.907980
0.399,-2.863994,-1.785886,-133.077200,23.967980
0.400,-2.864693,-1.784058,-133.072400,24.027980
0.401,-2.865390,-1.782229,-133.067600,24.087980
0.402,-2.866085,-1.780399,-133.062700,24.147980
0.403,-2.866779,-1.778569,-133.057900,24.207980
0.404,-2.867470,-1.776738,-133.053100,24.267980
0.405,-2.868160,-1.774906,-133.048300,24.327980
0.406,-2.868847,-1.773074,-133.043500,24.387980
0.407,-2.869532,-1.771241,-133.038600,24.447980
0.408,-2.870216,-1.769407,-133.033800,24.507980
0.409,-2.870897,-1.767572,-133.029000,24.567980
0.410,-2.871577,-1.765737,-133.024200,24.627980
0.411,-2.872255,-1.763901,-133.019300,24.687980
0.412,-2.872930,-1.762066,-133.014500,24.747980
0.413,-2.873604,-1.760229,-133.009700,24.807980
0.414,-2.874275,-1.758391,-133.004900,24.867980
0.415,-2.874945,-1.756552,-133.000100,24.927980
0.416,-2.875613,-1.754713,-132.995300,24.987980
0.417,-2.876279,-1.752874,-132.990400,25.047980
0.418,-2.876943,-1.751034,-132.985600,25.107980
0.419,-2.877605,-1.749193,-132.980800,25.167980
0.420,-2.878265,-1.747351,-132.976000,25.227980
0.421,-2.878923,-1.745509,-132.971200,25.287980
0.422,-2.879579,-1.743666,-132.966300,25.347980
0.423,-2.880233,-1.741823,-132.961500,25.407980
0.424,-2.880885,-1.739979,-132.956700,25.467980
0.425,-2.881535,-1.738134,-132.951900,25.527980
0.426,-2.882184,-1.736289,-132.947100,25.587980
