# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=2555
# Generated: 2026-07-20 11:52:53
# WAYPOINTS:
# WP: -1.602082,0.270989,-135.000000,124.338000,50
# WP: -1.740000,0.770000,-116.767000,113.485700,50

Time,X,Z,Theta1,Theta2
0.237,-0.484900,3.393128,-14.220000,13.096940
0.238,-0.486906,3.392649,-14.280000,13.152200
0.239,-0.488912,3.392169,-14.340000,13.207460
0.240,-0.490917,3.391687,-14.400000,13.262720
0.241,-0.492922,3.391202,-14.460000,13.317980
0.242,-0.494926,3.390716,-14.520000,13.373250
0.243,-0.496930,3.390228,-14.580000,13.428510
0.244,-0.498934,3.389737,-14.640000,13.483770
0.245,-0.500936,3.389245,-14.700000,13.539030
0.246,-0.502938,3.388751,-14.760000,13.594290
0.247,-0.504940,3.388255,-14.820000,13.649550
0.248,-0.506941,3.387757,-14.880000,13.704810
0.249,-0.508942,3.387256,-14.940000,13.760070
0.250,-0.510942,3.386754,-15.000000,13.815340
0.251,-0.512942,3.386250,-15.060000,13.870600
0.252,-0.514941,3.385744,-15.120000,13.925860
0.253,-0.516939,3.385236,-15.180000,13.981120
0.254,-0.518938,3.384726,-15.240000,14.036380
0.255,-0.520935,3.384214,-15.300000,14.091640
0.256,-0.522932,3.383700,-15.360000,14.146900
0.257,-0.524928,3.383185,-15.420000,14.202160
0.258,-0.526924,3.382667,-15.480000,14.257430
0.259,-0.528920,3.382147,-15.540000,14.312690
0.260,-0.530915,3.381625,-15.600000,14.367950
0.261,-0.532909,3.381102,-15.660000,14.423210
0.262,-0.534903,3.380576,-15.720000,14.478470
0.263,-0.536896,3.380048,-15.780000,14.533730
0.264,-0.538888,3.379519,-15.840000,14.588990
0.265,-0.540880,3.378987,-15.900000,14.644260
0.266,-0.542872,3.378454,-15.960000,14.699520
0.267,-0.544863,3.377918,-16.020000,14.754780
0.268,-0.546853,3.377381,-16.080000,14.810040
0.269,-0.548843,3.376842,-16.140000,14.865300
0.270,-0.550832,3.376300,-16.200000,14.920560
0.271,-0.552821,3.375757,-16.260000,14.975830
0.272,-0.554809,3.375212,-16.320000,15.031090
0.273,-0.556797,3.374665,-16.380000,15.086350
0.274,-0.558784,3.374115,-16.440000,15.141610
0.275,-0.560770,3.373564,-16.500000,15.196870
0.276,-0.562756,3.373011,-16.560000,15.252130
0.277,-0.564741,3.372457,-16.620000,15.307390
0.278,-0.566726,3.371900,-16.680000,15.362650
0.279,-0.568710,3.371341,-16.740000,15.417920
0.280,-0.570694,3.370780,-16.800000,15.473180
0.281,-0.572677,3.370217,-16.860000,15.528440
0.282,-0.574659,3.369652,-16.920000,15.583700
0.283,-0.576641,3.369086,-16.980000,15.638960
0.284,-0.578622,3.368517,-17.040000,15.694220
0.285,-0.580603,3.367946,-17.100000,15.749480
0.286,-0.582583,3.367374,-17.160000,15.804750
0.287,-0.584562,3.366799,-17.220000,15.860000
0.288,-0.586541,3.366223,-17.280000,15.915270
0.289,-0.588519,3.365645,-17.340000,15.970530
0.290,-0.590496,3.365064,-17.400000,16.025790
0.291,-0.592473,3.364482,-17.460000,16.081050
0.292,-0.594450,3.363898,-17.520000,16.136310
0.293,-0.596426,3.363312,-17.580000,16.191570
0.294,-0.598401,3.362724,-17.640000,16.246840
0.295,-0.600375,3.362134,-17.700000,16.302100
0.296,-0.602349,3.361542,-17.760000,16.357360
0.297,-0.604323,3.360948,-17.820000,16.412620
0.298,-0.606295,3.360352,-17.880000,16.467880
0.299,-0.608267,3.359754,-17.940000,16.523140
0.300,-0.610239,3.359155,-18.000000,16.578400
0.301,-0.612210,3.358553,-18.060000,16.633670
0.302,-0.614180,3.357949,-18.120000,16.688920
0.303,-0.616149,3.357344,-18.180000,16.744190
0.304,-0.618118,3.356737,-18.240000,16.799450
0.305,-0.620087,3.356127,-18.300000,16.854710
0.306,-0.622054,3.355516,-18.360000,16.909970
0.307,-0.624021,3.354903,-18.420000,16.965230
0.308,-0.625988,3.354288,-18.480000,17.020500
0.309,-0.627953,3.353670,-18.540000,17.075750
0.310,-0.629918,3.353051,-18.600000,17.131020
0.311,-0.631883,3.352431,-18.660000,17.186280
0.312,-0.633847,3.351808,-18.720000,17.241540
0.313,-0.635810,3.351183,-18.780000,17.296800
0.314,-0.637772,3.350556,-18.840000,17.352060
0.315,-0.639734,3.349927,-18.900000,17.407320
0.316,-0.641695,3.349297,-18.960000,17.462590
0.317,-0.643656,3.348664,-19.020000,17.517850
0.318,-0.645616,3.348030,-19.080000,17.573110
0.319,-0.647575,3.347393,-19.140000,17.628370
0.320,-0.649533,3.346755,-19.200000,17.683630
0.321,-0.651491,3.346115,-19.260000,17.738890
0.322,-0.653449,3.345473,-19.320000,17.794150
0.323,-0.655405,3.344829,-19.380000,17.849410
0.324,-0.657361,3.344183,-19.440000,17.904670
0.325,-0.659316,3.343535,-19.500000,17.959940
0.326,-0.661271,3.342885,-19.560000,18.015200
0.327,-0.663225,3.342233,-19.620000,18.070460
0.328,-0.665178,3.341580,-19.680000,18.125720
0.329,-0.667130,3.340924,-19.740000,18.180980
0.330,-0.669082,3.340267,-19.800000,18.236240
0.331,-0.671033,3.339607,-19.860000,18.291510
0.332,-0.672983,3.338946,-19.920000,18.346770
0.333,-0.674933,3.338283,-19.980000,18.402030
0.334,-0.676882,3.337617,-20.040000,18.457290
0.335,-0.678831,3.336951,-20.100000,18.512550
0.336,-0.680778,3.336282,-20.160000,18.567810
0.337,-0.682725,3.335611,-20.220000,18.623070
0.338,-0.684672,3.334938,-20.280000,18.678340
0.339,-0.686617,3.334263,-20.340000,18.733590
0.340,-0.688562,3.333586,-20.400000,18.788860
0.341,-0.690506,3.332908,-20.460000,18.844120
0.342,-0.692449,3.332228,-20.520000,18.899380
0.343,-0.694392,3.331545,-20.580000,18.954640
0.344,-0.696334,3.330861,-20.640000,19.009900
0.345,-0.698275,3.330175,-20.700000,19.065160
0.346,-0.700216,3.329487,-20.760000,19.120420
0.347,-0.702156,3.328797,-20.820000,19.175690
0.348,-0.704095,3.328105,-20.880000,19.230950
0.349,-0.706033,3.327411,-20.940000,19.286210
0.350,-0.707971,3.326715,-21.000000,19.341470
0.351,-0.709908,3.326018,-21.060000,19.396730
0.352,-0.711844,3.325319,-21.120000,19.451990
0.353,-0.713780,3.324617,-21.180000,19.507260
0.354,-0.715715,3.323914,-21.240000,19.562520
0.355,-0.717649,3.323209,-21.300000,19.617780
0.356,-0.719582,3.322502,-21.360000,19.673040
0.357,-0.721514,3.321793,-21.420000,19.728300
0.358,-0.723446,3.321082,-21.480000,19.783560
0.359,-0.725377,3.320369,-21.540000,19.838820
0.360,-0.727308,3.319654,-21.600000,19.894080
0.361,-0.729237,3.318938,-21.660000,19.949350
0.362,-0.731166,3.318219,-21.720000,20.004610
0.363,-0.733094,3.317499,-21.780000,20.059870
0.364,-0.735022,3.316777,-21.840000,20.115130
0.365,-0.736948,3.316053,-21.900000,20.170390
0.366,-0.738874,3.315327,-21.960000,20.225650
0.367,-0.740799,3.314599,-22.020000,20.280910
0.368,-0.742724,3.313869,-22.080000,20.336170
0.369,-0.744647,3.313138,-22.140000,20.391440
0.370,-0.746570,3.312404,-22.200000,20.446700
0.371,-0.748492,3.311669,-22.260000,20.501960
0.372,-0.750413,3.310931,-22.320000,20.557220
0.373,-0.752334,3.310192,-22.380000,20.612480
0.374,-0.754253,3.309451,-22.440000,20.667740
0.375,-0.756172,3.308708,-22.500000,20.723010
0.376,-0.758091,3.307964,-22.560000,20.778260
0.377,-0.760008,3.307217,-22.620000,20.833530
0.378,-0.761925,3.306468,-22.680000,20.888790
0.379,-0.763841,3.305718,-22.740000,20.944050
0.380,-0.765756,3.304965,-22.800000,20.999310
0.381,-0.767670,3.304211,-22.860000,21.054570
0.382,-0.769583,3.303455,-22.920000,21.109830
0.383,-0.771496,3.302697,-22.980000,21.165090
0.384,-0.773408,3.301937,-23.040000,21.220360
0.385,-0.775319,3.301176,-23.100000,21.275620
0.386,-0.777229,3.300412,-23.160000,21.330880
0.387,-0.779139,3.299646,-23.220000,21.386140
0.388,-0.781048,3.298879,-23.280000,21.441400
0.389,-0.782956,3.298110,-23.340000,21.496660
0.390,-0.784863,3.297339,-23.400000,21.551930
0.391,-0.786769,3.296566,-23.460000,21.607190
0.392,-0.788675,3.295791,-23.520000,21.662450
0.393,-0.790579,3.295014,-23.580000,21.717710
0.394,-0.792483,3.294236,-23.640000,21.772970
0.395,-0.794386,3.293455,-23.700000,21.828230
0.396,-0.796288,3.292673,-23.760000,21.883490
0.397,-0.798190,3.291889,-23.820000,21.938760
0.398,-0.800091,3.291103,-23.880000,21.994010
0.399,-0.801990,3.290315,-23.940000,22.049280
0.400,-0.803889,3.289525,-24.000000,22.104540
0.401,-0.805788,3.288734,-24.060000,22.159800
0.402,-0.807685,3.287940,-24.120000,22.215060
0.403,-0.809582,3.287145,-24.180000,22.270320
0.404,-0.811477,3.286348,-24.240000,22.325580
0.405,-0.813372,3.285549,-24.300000,22.380840
0.406,-0.815266,3.284748,-24.360000,22.436110
0.407,-0.817159,3.283945,-24.420000,22.491370
0.408,-0.819052,3.283141,-24.480000,22.546630
0.409,-0.820943,3.282334,-24.540000,22.601890
0.410,-0.822834,3.281526,-24.600000,22.657150
0.411,-0.824724,3.280716,-24.660000,22.712410
0.412,-0.826613,3.279904,-24.720000,22.767680
0.413,-0.828501,3.279090,-24.780000,22.822940
0.414,-0.830388,3.278274,-24.840000,22.878200
0.415,-0.832274,3.277457,-24.900000,22.933460
0.416,-0.834160,3.276637,-24.960000,22.988720
0.417,-0.836045,3.275816,-25.020000,23.043980
0.418,-0.837929,3.274993,-25.080000,23.099240
0.419,-0.839812,3.274168,-25.140000,23.154500
0.420,-0.841694,3.273341,-25.200000,23.209760
0.421,-0.843575,3.272513,-25.260000,23.265030
0.422,-0.845456,3.271682,-25.320000,23.320290
0.423,-0.847335,3.270850,-25.380000,23.375550
0.424,-0.849214,3.270016,-25.440000,23.430810
