# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=3960
# Generated: 2026-07-14 14:31:18
# WAYPOINTS:
# WP: -2.560000,-1.700000,-148.636400,54.212190,50
# WP: -2.160000,1.180000,-102.017100,89.250400,50
# WP: -0.680000,2.850000,-42.869300,63.909990,50

Time,X,Z,Theta1,Theta2
0.137,2.202771,-1.494114,87.845300,79.255290
0.138,2.201537,-1.496344,87.905300,79.243120
0.139,2.200301,-1.498574,87.965300,79.230960
0.140,2.199063,-1.500802,88.025300,79.218790
0.141,2.197822,-1.503029,88.085300,79.206630
0.142,2.196579,-1.505255,88.145300,79.194460
0.143,2.195334,-1.507480,88.205300,79.182300
0.144,2.194087,-1.509704,88.265300,79.170130
0.145,2.192837,-1.511927,88.325300,79.157970
0.146,2.191585,-1.514149,88.385300,79.145800
0.147,2.190331,-1.516370,88.445300,79.133640
0.148,2.189075,-1.518590,88.505290,79.121470
0.149,2.187815,-1.520809,88.565300,79.109310
0.150,2.186554,-1.523027,88.625300,79.097150
0.151,2.185291,-1.525244,88.685300,79.084980
0.152,2.184026,-1.527459,88.745300,79.072810
0.153,2.182758,-1.529674,88.805300,79.060650
0.154,2.181488,-1.531888,88.865300,79.048480
0.155,2.180215,-1.534101,88.925300,79.036320
0.156,2.178941,-1.536312,88.985300,79.024150
0.157,2.177665,-1.538522,89.045300,79.011990
0.158,2.176385,-1.540732,89.105300,78.999820
0.159,2.175104,-1.542940,89.165300,78.987660
0.160,2.173820,-1.545148,89.225300,78.975490
0.161,2.172534,-1.547354,89.285300,78.963330
0.162,2.171246,-1.549559,89.345300,78.951160
0.163,2.169956,-1.551763,89.405300,78.939000
0.164,2.168663,-1.553966,89.465300,78.926830
0.165,2.167368,-1.556168,89.525300,78.914670
0.166,2.166072,-1.558369,89.585300,78.902500
0.167,2.164772,-1.560569,89.645300,78.890340
0.168,2.163471,-1.562768,89.705300,78.878170
0.169,2.162167,-1.564965,89.765300,78.866000
0.170,2.160860,-1.567162,89.825300,78.853840
0.171,2.159552,-1.569357,89.885300,78.841680
0.172,2.158241,-1.571552,89.945300,78.829510
0.173,2.156928,-1.573745,90.005300,78.817350
0.174,2.155614,-1.575937,90.065300,78.805180
