# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=2763
# Generated: 2026-07-20 11:53:22
# WAYPOINTS:
# WP: -1.602082,0.270989,-135.000000,124.338000,50
# WP: -1.740002,0.769999,-116.767000,113.485700,50
# WP: 1.770000,0.970000,12.479080,108.782400,50

Time,X,Z,Theta1,Theta2
0.200,-1.666407,0.431962,-128.767000,120.628100
0.201,-1.665868,0.430359,-128.827000,120.663800
0.202,-1.665329,0.428757,-128.887000,120.699500
0.203,-1.664787,0.427156,-128.947000,120.735200
0.204,-1.664244,0.425556,-129.007000,120.771000
0.205,-1.663699,0.423957,-129.067000,120.806700
0.206,-1.663153,0.422359,-129.127000,120.842400
0.207,-1.662605,0.420762,-129.187000,120.878100
0.208,-1.662056,0.419166,-129.247000,120.913800
0.209,-1.661505,0.417570,-129.307000,120.949500
0.210,-1.660952,0.415976,-129.367000,120.985200
0.211,-1.660398,0.414383,-129.427000,121.020900
0.212,-1.659842,0.412791,-129.487000,121.056700
0.213,-1.659284,0.411200,-129.547000,121.092400
0.214,-1.658725,0.409610,-129.607000,121.128100
0.215,-1.658165,0.408021,-129.667000,121.163800
0.216,-1.657603,0.406433,-129.727000,121.199500
0.217,-1.657038,0.404846,-129.787000,121.235200
0.218,-1.656473,0.403259,-129.847000,121.270900
0.219,-1.655906,0.401674,-129.907000,121.306600
0.220,-1.655337,0.400090,-129.967000,121.342400
0.221,-1.654767,0.398508,-130.027000,121.378100
0.222,-1.654195,0.396925,-130.087000,121.413800
0.223,-1.653622,0.395344,-130.147000,121.449500
0.224,-1.653046,0.393764,-130.207000,121.485200
0.225,-1.652470,0.392186,-130.267000,121.520900
0.226,-1.651891,0.390608,-130.327000,121.556600
0.227,-1.651312,0.389031,-130.387000,121.592300
0.228,-1.650731,0.387454,-130.447000,121.628100
0.229,-1.650148,0.385880,-130.507000,121.663800
0.230,-1.649563,0.384306,-130.567000,121.699500
0.231,-1.648977,0.382733,-130.627000,121.735200
0.232,-1.648389,0.381162,-130.687000,121.770900
0.233,-1.647799,0.379591,-130.747000,121.806600
0.234,-1.647209,0.378021,-130.807000,121.842300
0.235,-1.646616,0.376452,-130.867000,121.878000
0.236,-1.646022,0.374885,-130.927000,121.913700
0.237,-1.645427,0.373318,-130.987000,121.949500
0.238,-1.644829,0.371753,-131.047000,121.985200
0.239,-1.644231,0.370188,-131.107000,122.020900
0.240,-1.643630,0.368625,-131.167000,122.056600
0.241,-1.643028,0.367062,-131.227000,122.092300
0.242,-1.642425,0.365501,-131.287000,122.128000
0.243,-1.641820,0.363941,-131.347000,122.163700
0.244,-1.641213,0.362382,-131.407000,122.199400
0.245,-1.640605,0.360824,-131.467000,122.235200
0.246,-1.639995,0.359267,-131.527000,122.270900
0.247,-1.639384,0.357710,-131.587000,122.306600
0.248,-1.638771,0.356155,-131.647000,122.342300
0.249,-1.638157,0.354601,-131.707000,122.378000
0.250,-1.637541,0.353048,-131.767000,122.413700
0.251,-1.636923,0.351497,-131.827000,122.449400
0.252,-1.636304,0.349946,-131.887000,122.485100
0.253,-1.635684,0.348396,-131.947000,122.520900
0.254,-1.635061,0.346848,-132.007000,122.556600
0.255,-1.634438,0.345300,-132.067000,122.592300
0.256,-1.633812,0.343753,-132.127000,122.628000
0.257,-1.633186,0.342208,-132.187000,122.663700
0.258,-1.632557,0.340664,-132.247000,122.699400
0.259,-1.631927,0.339121,-132.307000,122.735100
0.260,-1.631296,0.337578,-132.367000,122.770800
0.261,-1.630663,0.336037,-132.427000,122.806500
0.262,-1.630028,0.334497,-132.487000,122.842300
0.263,-1.629392,0.332959,-132.547000,122.878000
0.264,-1.628754,0.331421,-132.607000,122.913700
0.265,-1.628115,0.329884,-132.667000,122.949400
0.266,-1.627474,0.328348,-132.727000,122.985100
0.267,-1.626832,0.326814,-132.787000,123.020800
0.268,-1.626188,0.325280,-132.847000,123.056500
0.269,-1.625543,0.323748,-132.907000,123.092200
0.270,-1.624896,0.322217,-132.967000,123.128000
0.271,-1.624248,0.320686,-133.027000,123.163700
0.272,-1.623598,0.319157,-133.087000,123.199400
0.273,-1.622946,0.317629,-133.147000,123.235100
0.274,-1.622293,0.316102,-133.207000,123.270800
0.275,-1.621639,0.314576,-133.267000,123.306500
0.276,-1.620983,0.313052,-133.327000,123.342200
0.277,-1.620325,0.311528,-133.387000,123.377900
0.278,-1.619666,0.310005,-133.447000,123.413700
0.279,-1.619006,0.308484,-133.507000,123.449400
0.280,-1.618343,0.306964,-133.567000,123.485100
0.281,-1.617680,0.305445,-133.627000,123.520800
0.282,-1.617015,0.303927,-133.687000,123.556500
0.283,-1.616348,0.302410,-133.747000,123.592200
0.284,-1.615680,0.300894,-133.807000,123.627900
0.285,-1.615010,0.299379,-133.867000,123.663600
0.286,-1.614339,0.297866,-133.927000,123.699300
0.287,-1.613666,0.296353,-133.987000,123.735100
0.288,-1.612992,0.294842,-134.047000,123.770800
0.289,-1.612316,0.293332,-134.107000,123.806500
0.290,-1.611639,0.291823,-134.167000,123.842200
0.291,-1.610960,0.290315,-134.227000,123.877900
0.292,-1.610280,0.288808,-134.287000,123.913600
0.293,-1.609598,0.287302,-134.347000,123.949300
0.294,-1.608915,0.285798,-134.407000,123.985000
0.295,-1.608231,0.284294,-134.467000,124.020800
0.296,-1.607544,0.282792,-134.527000,124.056500
0.297,-1.606857,0.281291,-134.587000,124.092200
0.298,-1.606167,0.279791,-134.647000,124.127900
0.299,-1.605476,0.278292,-134.707000,124.163600
0.300,-1.604784,0.276794,-134.767000,124.199300
0.301,-1.604091,0.275298,-134.827000,124.235000
0.302,-1.603396,0.273802,-134.887000,124.270700
0.303,-1.602699,0.272308,-134.947000,124.306400
0.304,-1.602164,0.271163,-134.993000,124.333800
0.305,-1.602861,0.272656,-134.933000,124.298100
0.306,-1.603558,0.274151,-134.873000,124.262400
0.307,-1.604253,0.275646,-134.813000,124.226700
0.308,-1.604946,0.277143,-134.753000,124.191000
0.309,-1.605638,0.278641,-134.693000,124.155300
0.310,-1.606328,0.280141,-134.633000,124.119600
0.311,-1.607017,0.281641,-134.573000,124.083800
0.312,-1.607705,0.283143,-134.513000,124.048100
0.313,-1.608390,0.284645,-134.453000,124.012400
0.314,-1.609074,0.286149,-134.393000,123.976700
0.315,-1.609758,0.287653,-134.333000,123.941000
0.316,-1.610439,0.289160,-134.273000,123.905300
0.317,-1.611119,0.290667,-134.213000,123.869600
0.318,-1.611797,0.292175,-134.153000,123.833900
0.319,-1.612474,0.293684,-134.093000,123.798100
0.320,-1.613150,0.295194,-134.033000,123.762400
0.321,-1.613823,0.296706,-133.973000,123.726700
0.322,-1.614496,0.298219,-133.913000,123.691000
0.323,-1.615167,0.299733,-133.853000,123.655300
0.324,-1.615836,0.301248,-133.793000,123.619600
0.325,-1.616504,0.302764,-133.733000,123.583900
0.326,-1.617170,0.304281,-133.673000,123.548200
0.327,-1.617835,0.305799,-133.613000,123.512500
0.328,-1.618498,0.307318,-133.553000,123.476700
0.329,-1.619160,0.308839,-133.493000,123.441000
0.330,-1.619820,0.310361,-133.433000,123.405300
0.331,-1.620479,0.311884,-133.373000,123.369600
0.332,-1.621136,0.313407,-133.313000,123.333900
0.333,-1.621792,0.314932,-133.253000,123.298200
0.334,-1.622446,0.316458,-133.193000,123.262500
0.335,-1.623098,0.317986,-133.133000,123.226800
0.336,-1.623750,0.319514,-133.073000,123.191000
0.337,-1.624399,0.321043,-133.013000,123.155300
0.338,-1.625047,0.322574,-132.953000,123.119600
0.339,-1.625694,0.324105,-132.893000,123.083900
0.340,-1.626338,0.325637,-132.833000,123.048200
0.341,-1.626982,0.327172,-132.773000,123.012500
0.342,-1.627624,0.328707,-132.713000,122.976800
0.343,-1.628264,0.330242,-132.653000,122.941100
0.344,-1.628903,0.331779,-132.593000,122.905300
0.345,-1.629540,0.333317,-132.533000,122.869600
0.346,-1.630176,0.334856,-132.473000,122.833900
0.347,-1.630810,0.336397,-132.413000,122.798200
0.348,-1.631443,0.337938,-132.353000,122.762500
0.349,-1.632074,0.339481,-132.293000,122.726800
0.350,-1.632704,0.341024,-132.233000,122.691100
0.351,-1.633332,0.342569,-132.173000,122.655400
0.352,-1.633958,0.344114,-132.113000,122.619700
0.353,-1.634583,0.345661,-132.053000,122.583900
0.354,-1.635206,0.347209,-131.993000,122.548200
0.355,-1.635828,0.348758,-131.933000,122.512500
0.356,-1.636449,0.350308,-131.873000,122.476800
0.357,-1.637067,0.351858,-131.813000,122.441100
0.358,-1.637685,0.353410,-131.753000,122.405400
0.359,-1.638300,0.354963,-131.693000,122.369700
0.360,-1.638914,0.356518,-131.633000,122.334000
0.361,-1.639527,0.358073,-131.573000,122.298200
0.362,-1.640138,0.359630,-131.513000,122.262500
0.363,-1.640747,0.361187,-131.453000,122.226800
0.364,-1.641355,0.362745,-131.393000,122.191100
0.365,-1.641961,0.364305,-131.333000,122.155400
0.366,-1.642566,0.365865,-131.273000,122.119700
0.367,-1.643169,0.367427,-131.213000,122.084000
0.368,-1.643770,0.368989,-131.153000,122.048300
0.369,-1.644371,0.370553,-131.093000,122.012600
0.370,-1.644969,0.372118,-131.033000,121.976800
0.371,-1.645566,0.373684,-130.973000,121.941100
0.372,-1.646161,0.375251,-130.913000,121.905400
0.373,-1.646755,0.376818,-130.853000,121.869700
0.374,-1.647347,0.378387,-130.793000,121.834000
0.375,-1.647937,0.379957,-130.733000,121.798300
0.376,-1.648526,0.381528,-130.673000,121.762600
0.377,-1.649114,0.383100,-130.613000,121.726900
0.378,-1.649699,0.384673,-130.553000,121.691100
0.379,-1.650284,0.386248,-130.493000,121.655400
0.380,-1.650866,0.387822,-130.433000,121.619700
0.381,-1.651447,0.389399,-130.373000,121.584000
0.382,-1.652027,0.390976,-130.313000,121.548300
0.383,-1.652605,0.392554,-130.253000,121.512600
0.384,-1.653181,0.394133,-130.193000,121.476900
0.385,-1.653756,0.395713,-130.133000,121.441200
0.386,-1.654329,0.397294,-130.073000,121.405400
0.387,-1.654900,0.398876,-130.013000,121.369700
0.388,-1.655470,0.400460,-129.953000,121.334000
0.389,-1.656038,0.402044,-129.893000,121.298300
0.390,-1.656605,0.403629,-129.833000,121.262600
0.391,-1.657170,0.405216,-129.773000,121.226900
0.392,-1.657734,0.406803,-129.713000,121.191200
0.393,-1.658296,0.408391,-129.653000,121.155500
0.394,-1.658856,0.409981,-129.593000,121.119800
0.395,-1.659415,0.411571,-129.533000,121.084000
0.396,-1.659972,0.413162,-129.473000,121.048300
0.397,-1.660527,0.414755,-129.413000,121.012600
0.398,-1.661081,0.416348,-129.353000,120.976900
0.399,-1.661633,0.417943,-129.293000,120.941200
0.400,-1.662184,0.419538,-129.233000,120.905500
0.401,-1.662733,0.421134,-129.173000,120.869800
0.402,-1.663281,0.422731,-129.113000,120.834100
0.403,-1.663826,0.424330,-129.053000,120.798300
0.404,-1.664371,0.425929,-128.993000,120.762600
0.405,-1.664914,0.427529,-128.933000,120.726900
0.406,-1.665454,0.429131,-128.873000,120.691200
0.407,-1.665994,0.430733,-128.813000,120.655500
0.408,-1.666532,0.432336,-128.753000,120.619800
0.409,-1.667068,0.433940,-128.693000,120.584100
0.410,-1.667602,0.435546,-128.633000,120.548400
0.411,-1.668135,0.437152,-128.573000,120.512600
0.412,-1.668667,0.438759,-128.513000,120.476900
0.413,-1.669196,0.440367,-128.453000,120.441200
0.414,-1.669724,0.441976,-128.393000,120.405500
0.415,-1.670251,0.443586,-128.333000,120.369800
0.416,-1.670775,0.445198,-128.273000,120.334100
0.417,-1.671298,0.446810,-128.213000,120.298400
0.418,-1.671820,0.448423,-128.153000,120.262700
0.419,-1.672340,0.450036,-128.093000,120.226900
0.420,-1.672858,0.451651,-128.033000,120.191200
0.421,-1.673375,0.453268,-127.973000,120.155500
0.422,-1.673890,0.454884,-127.913000,120.119800
0.423,-1.674403,0.456502,-127.853000,120.084100
0.424,-1.674915,0.458121,-127.793000,120.048400
0.425,-1.675425,0.459740,-127.733000,120.012700
0.426,-1.675934,0.461361,-127.673000,119.977000
0.427,-1.676440,0.462983,-127.613000,119.941300
0.428,-1.676945,0.464605,-127.553000,119.905500
0.429,-1.677449,0.466229,-127.493000,119.869800
0.430,-1.677951,0.467853,-127.433000,119.834100
0.431,-1.678451,0.469479,-127.373000,119.798400
0.432,-1.678950,0.471105,-127.313000,119.762700
0.433,-1.679446,0.472733,-127.253000,119.727000
0.434,-1.679942,0.474361,-127.193000,119.691300
0.435,-1.680435,0.475990,-127.133000,119.655600
0.436,-1.680928,0.477620,-127.073000,119.619800
0.437,-1.681418,0.479251,-127.013000,119.584100
0.438,-1.681906,0.480883,-126.953000,119.548400
0.439,-1.682393,0.482516,-126.893000,119.512700
0.440,-1.682878,0.484150,-126.833000,119.477000
0.441,-1.683362,0.485784,-126.773000,119.441300
0.442,-1.683844,0.487420,-126.713000,119.405600
0.443,-1.684325,0.489057,-126.653000,119.369900
0.444,-1.684804,0.490694,-126.593000,119.334100
0.445,-1.685281,0.492333,-126.533000,119.298400
0.446,-1.685756,0.493972,-126.473000,119.262700
0.447,-1.686230,0.495612,-126.413000,119.227000
0.448,-1.686702,0.497253,-126.353000,119.191300
0.449,-1.687172,0.498896,-126.293000,119.155600
0.450,-1.687641,0.500539,-126.233000,119.119900
0.451,-1.688108,0.502183,-126.173000,119.084200
0.452,-1.688573,0.503828,-126.113000,119.048400
0.453,-1.689037,0.505473,-126.053000,119.012700
0.454,-1.689499,0.507120,-125.993000,118.977000
0.455,-1.689960,0.508768,-125.933000,118.941300
