# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=9249
# Generated: 2026-07-15 16:00:29
# WAYPOINTS:
# WP: -1.560000,2.380000,-65.005420,69.049390,100
# WP: -2.750000,1.160000,-94.978820,60.372510,29
# WP: -0.460000,1.640000,-69.218830,121.331200,19
# WP: -1.410000,0.470000,-127.873900,129.558900,100
# WP: -2.080000,-0.150000,-141.803900,105.993100,50
# WP: 1.360000,1.060000,-1.193326,120.519100,50
# WP: 2.380000,1.570000,24.972110,68.724780,50
# WP: 2.690000,0.380000,46.951810,76.325600,50
# WP: 1.580000,2.640000,5.972063,53.944580,50

Time,X,Z,Theta1,Theta2
0.206,-0.688830,3.299292,-23.272250,24.720000
0.207,-0.691975,3.297845,-23.385220,24.840000
0.208,-0.695118,3.296392,-23.498190,24.960000
0.209,-0.698258,3.294933,-23.611160,25.080000
0.210,-0.701395,3.293466,-23.724130,25.200000
0.211,-0.704529,3.291994,-23.837100,25.320000
0.212,-0.707660,3.290514,-23.950080,25.440000
0.213,-0.710788,3.289028,-24.063050,25.560000
0.214,-0.713914,3.287536,-24.176020,25.680000
0.215,-0.717036,3.286037,-24.288990,25.800000
0.216,-0.720156,3.284531,-24.401960,25.920000
0.217,-0.723272,3.283019,-24.514940,26.040000
0.218,-0.726386,3.281500,-24.627910,26.160000
0.219,-0.729496,3.279975,-24.740880,26.280000
0.220,-0.732604,3.278443,-24.853860,26.400000
0.221,-0.735708,3.276904,-24.966830,26.520000
0.222,-0.738810,3.275359,-25.079800,26.640000
0.223,-0.741908,3.273808,-25.192770,26.760000
0.224,-0.745003,3.272250,-25.305740,26.880000
0.225,-0.748096,3.270685,-25.418710,27.000000
0.226,-0.751185,3.269114,-25.531680,27.120000
0.227,-0.754271,3.267537,-25.644660,27.240000
0.228,-0.757354,3.265953,-25.757630,27.360000
0.229,-0.760434,3.264363,-25.870600,27.480000
0.230,-0.763511,3.262766,-25.983570,27.600000
0.231,-0.766585,3.261162,-26.096550,27.720000
0.232,-0.769655,3.259552,-26.209520,27.840000
0.233,-0.772723,3.257936,-26.322490,27.960000
0.234,-0.775787,3.256313,-26.435460,28.080000
0.235,-0.778848,3.254684,-26.548430,28.200000
0.236,-0.781905,3.253048,-26.661410,28.320000
0.237,-0.784960,3.251406,-26.774380,28.440000
0.238,-0.788011,3.249757,-26.887350,28.560000
0.239,-0.791059,3.248102,-27.000320,28.680000
0.240,-0.794104,3.246441,-27.113290,28.800000
0.241,-0.797146,3.244773,-27.226270,28.920000
0.242,-0.800184,3.243099,-27.339240,29.040000
0.243,-0.803219,3.241418,-27.452210,29.160000
0.244,-0.806251,3.239731,-27.565180,29.280000
0.245,-0.809279,3.238038,-27.678150,29.400000
0.246,-0.812304,3.236338,-27.791130,29.520000
0.247,-0.815325,3.234632,-27.904100,29.640000
0.248,-0.818344,3.232919,-28.017070,29.760000
0.249,-0.821359,3.231200,-28.130040,29.880000
0.250,-0.824370,3.229475,-28.243010,30.000000
0.251,-0.827378,3.227743,-28.355990,30.120000
0.252,-0.830383,3.226005,-28.468960,30.240000
0.253,-0.833384,3.224261,-28.581930,30.360000
0.254,-0.836382,3.222510,-28.694900,30.480000
0.255,-0.839377,3.220753,-28.807880,30.600000
0.256,-0.842368,3.218990,-28.920850,30.720000
0.257,-0.845355,3.217221,-29.033820,30.840000
0.258,-0.848339,3.215445,-29.146790,30.960000
0.259,-0.851320,3.213663,-29.259760,31.080000
0.260,-0.854297,3.211874,-29.372740,31.200000
0.261,-0.857270,3.210080,-29.485710,31.320000
0.262,-0.860240,3.208279,-29.598680,31.440000
0.263,-0.863207,3.206471,-29.711650,31.560000
0.264,-0.866170,3.204658,-29.824620,31.680000
0.265,-0.869129,3.202838,-29.937600,31.800000
0.266,-0.872084,3.201012,-30.050570,31.920000
0.267,-0.875037,3.199180,-30.163540,32.040000
0.268,-0.877985,3.197341,-30.276510,32.160000
